"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"2961",1,"133","",3,"","",""
"2946",1,"143","",3,"","",""
"2876",1,"621","",3,"","",""
"2875",1,"302","",3,"","",""
"2872",1,"181","",3,"","",""
"2871",1,"146","",3,"","",""
"2860",1,"513","",3,"","",""
"2857",1,"141","",3,"","",""
"2816",1,"633","",3,"","",""
"2784",1,"641","",3,"","",""
"2782",1,"609","",3,"","",""
"2781",1,"606","",3,"","",""
"2775",1,"508","",3,"","",""
"2767",1,"455","",3,"","",""
"2763",1,"350","",3,"","",""
"2760",1,"311","",3,"","",""
"2750",1,"241","",3,"","",""
"2630",1,"424","",3,"","",""
"2629",1,"423","",3,"","",""
"2625",1,"342","",3,"","",""
"2624",1,"341","",3,"","",""
"2620",1,"331","",3,"","",""
"2615",1,"171","",3,"","",""
"2613",1,"164","",3,"","",""
"2612",1,"145","",3,"","",""
"2592",1,"822","",3,"","",""
"2587",1,"812","",3,"","",""
"2584",1,"750","",3,"","",""
"2581",1,"511","",3,"","",""
"2571",1,"151","",3,"","",""
"2483",1,"550","",3,"","",""
"2479",1,"431","",3,"","",""
"2477",1,"301","",3,"","",""
"2446",1,"303","",3,"","",""
"2439",1,"608","",3,"","",""
"2438",1,"605","",3,"","",""
"2430",1,"405","",3,"","",""
"2429",1,"402","",3,"","",""
"2427",1,"332","",3,"","",""
"2425",1,"323","",3,"","",""
"2424",1,"322","",3,"","",""
"2423",1,"321","",3,"","",""
"2420",1,"309","",3,"","",""
"2419",1,"305","",3,"","",""
"2418",1,"304","",3,"","",""
"2412",1,"180","",3,"","",""
"2411",1,"170","",3,"","",""
"2391",1,"119","",3,"","",""
"2367",1,"622","",3,"","",""
"2361",1,"512","",3,"","",""
"2353",1,"325","",3,"","",""
"2349",1,"272","",3,"","",""
"2334",1,"163","",3,"","",""
"2332",1,"142","",3,"","",""
"2331",1,"140","",3,"","",""
"2330",1,"131","",3,"","",""
"2328",1,"117","",3,"","",""
"2327",1,"116","",3,"","",""
"2319",1,"306","",3,"","",""
"2317",1,"182","",3,"","",""
"2316",1,"152","",3,"","",""
"2266",1,"655","",3,"","",""
"2257",1,"250","",3,"","",""
"2251",1,"507","",3,"","",""
"2248",1,"414","",3,"","",""
"2226",1,"176","",3,"","",""
"2224",1,"161","",3,"","",""
"2223",1,"160","",3,"","",""
"2222",1,"135","",3,"","",""
"2211",1,"950","",3,"","",""
"2158",1,"262","",3,"","",""
"2155",1,"233","",3,"","",""
"2151",1,"134","",3,"","",""
"2121",1,"942","",3,"","",""
"2111",1,"650","",3,"","",""
"2110",1,"642","",3,"","",""
"2091",1,"506","",3,"","",""
"2090",1,"505","",3,"","",""
"2089",1,"504","",3,"","",""
"2088",1,"503","",3,"","",""
"2087",1,"502","",3,"","",""
"2081",1,"422","",3,"","",""
"2080",1,"421","",3,"","",""
"2076",1,"403","",3,"","",""
"2073",1,"121","",3,"","",""
"2068",1,"172","",3,"","",""
"2067",1,"144","",3,"","",""
"2039",1,"165","",3,"","",""
"2038",1,"132","",3,"","",""
"2037",1,"130","",3,"","",""
"2466",111,"T1","",0,"","",""
"3679",16,"752","",3,"","",""
"3678",16,"652","",3,"","",""
"3677",16,"643","",3,"","",""
"3676",16,"624","",3,"","",""
"3126",16,"871","",3,"","",""
"2866",16,"884","",3,"","",""
"2740",16,"973","",3,"","",""
"2739",16,"972","",3,"","",""
"2738",16,"971","",3,"","",""
"2735",16,"940","",3,"","",""
"2730",16,"904","",3,"","",""
"2729",16,"900","",3,"","",""
"2728",16,"891","",3,"","",""
"2727",16,"883","",3,"","",""
"2726",16,"882","",3,"","",""
"2725",16,"880","",3,"","",""
"2724",16,"875","",3,"","",""
"2723",16,"870","",3,"","",""
"2722",16,"864","",3,"","",""
"2721",16,"863","",3,"","",""
"2720",16,"862","",3,"","",""
"2719",16,"861","",3,"","",""
"2718",16,"860","",3,"","",""
"2717",16,"850","",3,"","",""
"2716",16,"841","",3,"","",""
"2715",16,"840","",3,"","",""
"2714",16,"835","",3,"","",""
"2713",16,"820","",3,"","",""
"2712",16,"817","",3,"","",""
"2711",16,"813","",3,"","",""
"2710",16,"812","",3,"","",""
"2709",16,"811","",3,"","",""
"2708",16,"800","",3,"","",""
"2707",16,"796","",3,"","",""
"2706",16,"795","",3,"","",""
"2705",16,"785","",3,"","",""
"2704",16,"784","",3,"","",""
"2703",16,"783","",3,"","",""
"2702",16,"782","",3,"","",""
"2701",16,"781","",3,"","",""
"2700",16,"774","",3,"","",""
"2699",16,"773","",3,"","",""
"2698",16,"772","",3,"","",""
"2697",16,"771","",3,"","",""
"2696",16,"770","",3,"","",""
"2695",16,"768","",3,"","",""
"2694",16,"767","",3,"","",""
"2693",16,"766","",3,"","",""
"2692",16,"762","",3,"","",""
"2691",16,"761","",3,"","",""
"2690",16,"760","",3,"","",""
"2689",16,"751","",3,"","",""
