id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
2411,EGEC,medium_airport,Campbeltown Airport,55437199.0,-568639.0,42.0,EU,GB,GB-SCT,Campbeltown,yes,EGEC,CAL,EGEC,,http://www.hial.co.uk/campbeltown-airport.html,https://en.wikipedia.org/wiki/Campbeltown_Airport,"Kintyre, RAF Machrihanish, Kinlochkilkerran"
29126,EGED,medium_airport,Eday Airport,5919060000000000.0,-2.77222e+16,10.0,EU,GB,GB-SCT,Eday,yes,EGED,EOI,EGED,,,https://en.wikipedia.org/wiki/Eday_Airport,London Airport
29127,EGEF,small_airport,Fair Isle Airport,59534721.0,-1628509.0,223.0,EU,GB,GB-SCT,Fair Isle,yes,EGEF,FIE,EGEF,,http://www.fairisle.org.uk/egef/index.htm,https://en.wikipedia.org/wiki/Fair_Isle_Airport,
44408,EGEL,small_airport,Coll Airport,56601898.0,-661778.0,21.0,EU,GB,GB-SCT,Coll Island,yes,,COL,EGEL,,,https://en.wikipedia.org/wiki/Coll_Airport,
29129,EGEN,small_airport,North Ronaldsay Airport,593675000000.0,-243444000000.0,40.0,EU,GB,GB-SCT,North Ronaldsay,yes,EGEN,NRL,EGEN,,,https://en.wikipedia.org/wiki/North_Ronaldsay_Airport,
2412,EGEO,small_airport,Oban Airport,56463501.0,-539967.0,20.0,EU,GB,GB-SCT,North Connel,yes,EGEO,OBN,EGEO,,http://obanandtheislesairports.com/,https://en.wikipedia.org/wiki/Oban_Airport,
29130,EGEP,small_airport,Papa Westray Airport,5.93517e+16,-2.90028e+16,91.0,EU,GB,GB-SCT,Papa Westray,yes,EGEP,PPW,EGEP,,,https://en.wikipedia.org/wiki/Papa_Westray_Airport,Papay
29131,EGER,small_airport,Stronsay Airport,591553.0,-264139.0,39.0,EU,GB,GB-SCT,Stronsay,yes,EGER,SOY,EGER,,,https://en.wikipedia.org/wiki/Stronsay_Airport,
29132,EGES,small_airport,Sanday Airport,59250301.0,-257667.0,68.0,EU,GB,GB-SCT,Sanday,yes,EGES,NDY,EGES,,,https://en.wikipedia.org/wiki/Sanday_Airport,
29133,EGET,small_airport,Lerwick / Tingwall Airport,601922.0,-124361.0,43.0,EU,GB,GB-SCT,"Lerwick, Shetland Islands",yes,EGET,LWK,EGET,,,https://en.wikipedia.org/wiki/Tingwall_Airport,Lerwick
29134,EGEW,small_airport,Westray Airport,593503000000.0,-295000000000.0,29.0,EU,GB,GB-SCT,Westray,yes,EGEW,WRY,EGEW,,,https://en.wikipedia.org/wiki/Westray_Airport,
44409,EGEY,small_airport,Colonsay Airstrip,56057499.0,-624306.0,44.0,EU,GB,GB-SCT,Colonsay,yes,,CSA,EGEY,,,https://en.wikipedia.org/wiki/Colonsay_Airport,Machrins
